60					
0.2533 	0.3233 	1 			
0.2533 	0.2767 	1 			
0.3033 	0.3000 	1 			
0.2867 	0.3400 	1 			
0.3200 	0.3233 	1 			
0.2500 	0.3733 	1 			
0.2100 	0.3433 	1 			
0.3033 	0.3767 	1 			
0.3267 	0.2633 	1 			
0.2067 	0.1767 	1 			
0.1833 	0.2733 	1 			
0.1933 	0.4033 	1 			
0.3133 	0.4267 	1 			
0.3600 	0.3700 	1 			
0.3600 	0.2900 	1 			
0.3067 	0.2033 	1 			
0.2467 	0.2233 	1 			
0.2467 	0.4633 	1 			
0.2533 	0.4133 	1 			
0.2867 	0.3967 	1 			
0.6733 	0.2933 	1 			
0.6833 	0.2567 	1 			
0.7267 	0.2600 	1 			
0.7000 	0.2867 	1 			
0.6400 	0.3000 	1 			
0.6000 	0.3200 	1 			
0.2133 	0.2867 	1 			
0.2833 	0.2700 	1 			
0.2433 	0.3400 	1 			
0.2733 	0.2967 	1 			
0.5633 	0.5933 	-1 			
0.5933 	0.5767 	-1 			
0.5967 	0.6000 	-1 			
0.5433 	0.6233 	-1 			
0.5800 	0.6633 	-1 			
0.5933 	0.6267 	-1 			
0.5367 	0.6433 	-1 			
0.4833 	0.6500 	-1 			
0.5100 	0.6933 	-1 			
0.5767 	0.7400 	-1 			
0.5733 	0.6833 	-1 			
0.6433 	0.6500 	-1 			
0.6433 	0.5733 	-1 			
0.6500 	0.5100 	-1 			
0.7000 	0.5800 	-1 			
0.6133 	0.6767 	-1 			
0.6933 	0.7300 	-1 			
0.6967 	0.6400 	-1 			
0.4567 	0.7233 	-1 			
0.5367 	0.5533 	-1 			
0.2400 	0.5733 	-1 			
0.1867 	0.5933 	-1 			
0.2333 	0.6167 	-1 			
0.1100 	0.6400 	-1 			
0.8567 	0.4133 	-1 			
0.8100 	0.4400 	-1 			
0.8433 	0.4867 	-1 			
0.8700 	0.4467 	-1 			
0.7933 	0.4700 	-1 			
0.6467 	0.6833 	-1 			
